"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"cornificata","keratinized",,,,,,"cheratinizată",,,,,,,,
"cornificatum","keratinized",,,,,,"cheratinizat",,,,,,,,
"Corpus","body",,,,,,"corp",,,,,,,,
"corpusculum","body",,,,,,"corpuscul",,"corp",,,,,,
"corticale","cortical",,,,,,"cortical",,,,,,,,
"corticosterocytus","corticosterocyte",,,,,,"corticosterocit",,,,,,,,
"corticotropicus","corticotropic",,,,,,"corticotrop",,,,,,,,
"costamerum","costamere",,,,,,"costamere",,,,,,,,
"cribosa","cribosa",,,,,,"cribosa",,,,,,,,
"cribrum","grid",,,,,,"grid",,,,,,,,
"crinophagolysosoma","crinophagolysosome",,,,,,"crinofagolizozom",,,,,,,,
"cristarum","ridge ",,,,,,"creastă",,,,,,,,
"crusta","plaque",,,,,,"placă",,"crustă",,,,,,
"cryptalis","cryptal",,,,,,"criptal",,,,,,,,
"crystalloideum","crystalloid",,,,,,"cristaloid",,,,,,,,
"crystallum","crystal",,,,,,"cristal",,,,,,,,
"csf","csf",,"Colony-Stimulating Factor",,,,"csf",,"factor stimulator al coloniilor",,,,,,
"cum","with",,,,,,"cu",,,,,,,,
"cumulus","cluster",,,,,,"grup",,,,,,,,
"cuniculus","tunnel",,,,,,"tunel",,,,,,,,
"cupularium","cap ",,,,,,"cupular",,,,,,,,
"cursibus","directions",,,,,,"direcție","r","curs",,,,,,
"cursu","direction",,,,,,"direcție","r","curs",,,,,,
"cutaneum","cutaneous",,,,,,"cutanat",,,,,,,,
"cute","skin",,,,,,"piele",,,,,,,,
"cuticula","cuticle",,,,,,"cuticulă",,,,,,,,
"cuticularis","cuticular",,,,,,"cuticular",,,,,,,,
"cyclus","cycle",,,,,,"ciclu",,,,,,,,
"cytocentrum","cytocentre",,,,,,"citocentru",,,,,,,,
"cytokeratini","cytokeratin",,,,,,"citocheratinic",,"de citocheratină",,,,,,
"cytokinesis","cytokinesis",,,,,,"citochineză",,,,,,,,
"cytoplasma","cytoplasm",,,,,,"citoplasmă",,,,,,,,
"cytoplasmatica","cytoplasmic ",,,,,,"citoplasmatică",,,,,,,,
"cytoplasmica","cytoplasmic ",,,,,,"citoplasmatică",,,,,,,,
"cytoplasmicae","cytoplasmic ",,,,,,"citoplasmatice",,,,,,,,
"cytoplasmicum","cytoplasmic",,,,,,"citoplasmatic",,,,,,,,
"cytoplasmicus","cytoplasmic",,,,,,"citoplasmic",,,,,,,,
"cytopodium","pedicle",,"Secondary process",,"Foot process",,"citopod",,"pedicul",,,,,,
"cytoreticulum","cytoreticulum",,,,,,"citoreticul",,,,,,,,
"cytoskeletalis","cytoskeletal",,,,,,"citoscheletal",,,,,,,,
"cytoskeleton","cytoskeleton",,,,,,"citoschelet",,,,,,,,
"cytosol","cytosol",,,,,,"citosol",,,,,,,,
"cytotoxica","cytotoxic",,,,,,"citotoxic",,,,,,,,
"cytotrabecula","trabecula",,"Primary process",,,,"citotrabeculă",,,,,,,,
"d","d",,,,,,"d",,,,,,,,
"decidualis","decidual",,,,,,"deciduali",,,,,,,,
"degenerans","degenerating ",,,,,,"degenerativă",,,,,,,,
"delta","delta",,,,,,"delta",,,,,,,,
"dendriti","dendritic ",,"of dendrite",,,,"dendritică",,"a dendritei",,,,,,
"dendritica","dendritic",,,,,,"dendritic",,,,,,,,
"densitas","density",,,,,,"densitate",,,,,,,,
"dendritiformis","dendritic",,,,,,"dendritică",,,,,,,,
"dendritum","dendrite",,,,,,"dendrită",,,,,,,,
"dendritus","dendrite",,,,,,"dendrită",,,,,,,,
"dendrocytus","dendritic cell",,,,,,"celulă dendritică",,"dendrocit",,,,,,
"dendrodendritica","dendrodendritic ",,,,,,"dendrodendritică",,,,,,,,
"densa","dark",,,,,,"întunecată",,,,,,,,
"densae","dense ",,,,,,"densă",,,,,,,,
"densocellulare","dense cell",,,,,,"densocelular",,"celular dens",,,,,,
"densonuclearis","dense-cored ",,,,,,"densonuclear",,,,,,,,
"densum","dense",,,,,,"dens",,,,,,,,
"densus","dense",,,,,,"dens",,,,,,,,
"dentata","dentate",,,,,,"dințat",,,,,,,,
"dentatae","dentate",,,,,,"dințate",,,,,,,,
"dentinalis","dentinal",,,,,,"dentinală",,,,,,,,
"dentini","of dentine",,"Dentinal",,,,"al dentinei",,,,,,,,
"dentinoblasti","dentinoblast",,,,,,"dentinoblast",,,,,,,,
"dentinoblastus","dentinoblast",,,,,,"dentinoblast",,,,,,,,
"dentinocementalis","dentinocemental ",,,,,,"dentinocemental ",,,,,,,,
"dentinoenamelea","enamel dentine",,"Dentine enamel",,,,"dentină-smalț",,"dentină-email",,,,,,
"dentinoenameli","dentino-enamel ",,,,,,"dentină-smalț",,"dentină-email",,,,,,
"dentoalveolare","dentoalveolar",,,,,,"dentoalveolar",,,,,,,,
"dentogingivalis","dentogingival",,,,,,"dentogingival",,,,,,,,
"dentoperiostalis","dentoperiostal",,,,,,"dentoperiostal",,,,,,,,
"depositum","deposit",,,,,,"depozit",,,,,,,,
"dermale","dermal",,,,,,"dermal",,,,,,,,
"dermalis","dermal",,,,,,"dermal",,,,,,,,
"dermoepidermalis","dermoepidermal ",,,,,,"dermoepidermoidă",,,,,,,,
"desmalis","intramembranous ",,,,,,"desmală","r","intramembranoasă",,,,,,
"desmini","desmin",,,,,,"desminic","r","de desmină",,,,,,
"desminum","desmin",,,,,,"desmină",,,,,,,,
"desmocollina","desmocollins",,,,,,"desmocolină",,,,,,,,
"desmogleina","desmogleins",,,,,,"desmogleină",,,,,,,,
"desmosoma","desmosome",,,,,,"desmozom",,,,,,,,
"desmosomatica","desmosomal",,,,,,"desmozomală",,,,,,,,
"desoxyribonuclearis","desoxyribonuclear",,,,,,"dezoxiribonucleic",,,,,,,,
"desquamativa","desquamation ",,,,,,"descuamativă","r","de descuamare",,,,,,
"diakinesis","diakinesis",,,,,,"diakineză",,,,,,,,
"diarthroses","diarthroses",,,,,,"diartroze",,,,,,,,
"dias","diad",,,,,,"diadă",,"diodă",,,,,,
"diaster","diaster",,"Amphiaster",,,,"diaster",,"Amfiaster",,,,,,
"dictyosoma","dictyosome",,,,,,"dictiozom",,,,,,,,
"diffusa","diffuse",,,,,,"difuză",,,,,,,,
"diffusum","diffuse ",,,,,,"difuză",,,,,,,,
"digitiformis","digitiform",,,,,,"digitiform",,,,,,,,
"dilatata","dilatated",,,,,,"dilatată",,,,,,,,
"dilatatio","dilatation",,,,,,"dilatație",,,,,,,,
"diploidia","diploidy",,,,,,"diploidie",,,,,,,,
"diplomicrotubulus","microtubular doublet",,,,,,"diplomicrotubul",,"microtubul dublu",,,,,,
"diplonema","diplotene",,,,,,"diplonemă",,,,,,,,
"diplonemalis","diplotene",,,,,,"diplonemică",,,,,,,,
