"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"thrombocyti","platelet",,"of platelet","*",,,"trombocitic",,"al trombocitului",,,,,,
"thrombocyticum","thrombocytic ",,,,,,"trombocitică",,,,,,,,
"thrombocytopoiesis","thrombocytopoiesis",,,,,,"trombocitopoieză",,,,,,,,
"thrombocytus","thrombocyte",,"Platelet",,,,"trombocit",,"plachetă sangvină",,,,,,
"thymicum","thymic",,,,,,"timic",,,,,,,,
"thymocytopoietica","thymocytopoietic ",,,,,,"timocitopoietică",,,,,,,,
"thymocytorum","thymic",,"of thymocyte",,,,"timocitară","r","a timocitelor",,,,,,
"thymocytus","thymocyte",,"T cell",,,,"timocit",,"celulă timică",,"celulă T",,,,
"thymodependens","thymus dependent ",,,,,,"timodependentă",,,,,,,,
"thyrocytus","thyrocyte",,,,,,"tireocit",,"celulă tiroidiană",,,,,,
"thyroidea","thyroid",,,,,,"tiroidiană",,,,,,,,
"thyrotropicus","thyrotropic",,,,,,"tireotropă",,,,,,,,
"titinum","titin",,,,,,"titină",,,,,,,,
"tonofibrilla","tonofibril",,,,,,"tonofibrilă",,,,,,,,
"tonofilamentum","tonofilament",,,,,,"tonofilament",,,,,,,,
"tonsilla","tonsil",,,,,,"tonsilă",,,,,,,,
"totocortex","totocortex",,,,,,"totocortex",,,,,,,,
"trama","web",,,,,,"rețea",,"pânză",,,,,,
"trans","trans",,"distal",,,,"trans",,"distal",,,,,,
"transcellularis","transcellular","*",,,,,"transcelular",,,,,,,,
"transcytosis","transcytosis",,,,,,"transcitoză",,,,,,,,
"transendothelialis","transendothelial",,,,,,"transendotelial",,,,,,,,
"transferens","transfer",,"Transport",,,,"de transfer",,"de transport",,,,,,
"transferrens","transporting ",,,,,,"transportatoare de",,,,,,,,
"transgingivalis","transgingival",,,,,,"transgingivală",,,,,,,,
"transitionale","transitional ",,,,,,"tranzițional ",,,,,,,,
"transitoria","transitory",,,,,,"tranzitorie",,,,,,,,
"transportans","transport",,"Transfer",,,,"de transport",,"de transfer",,,,,,
"transseptalis","transseptal",,,,,,"transseptală",,,,,,,,
"trias","triad",,,,,,"triadă",,,,,,,,
"trichocytus","trichocyte",,,,,,"tricocit","r",,,,,,,
"trichohyalini","trichohyaline ",,,,,,"tricohialină",,,,,,,,
"triplomicrotubulus","microtubular triplet",,,,,,"triplomicrotubul",,"triplet microtubular",,,,,,
"triskelion","triskelion",,,,,,"triskelion",,,,,,,,
"clathrini","clathrin",,,,,,"clatrinic",,"de clatrină",,,,,,
"tropocollagenum","tropocollagen",,,,,,"tropocolagen",,,,,,,,
"tropomodulinum","tropomodulin",,,,,,"tropomodulină",,,,,,,,
"tropomyosinum","tropomyosin",,,,,,"tropomiozină",,,,,,,,
"troponini","troponin",,,,,,"troponinic",,"de troponină",,,,,,
"tuberohypophysialis","tuberohypophysial ",,,,,,"tuberohipofizar ",,,,,,,,
"tuberoinfundibularis","tuberoinfundibular ",,,,,,"tuberoinfundibular ",,,,,,,,
"tubulare","tubular",,,,,,"tubular",,,,,,,,
"tubularis","tubularis",,,,,,"tubular",,,,,,,,
"tubulinum","tubulin",,,,,,"tubulină",,,,,,,,
"tubuloacinosa","tubulo-acinar",,,,,,"tubuloacinară",,,,,,,,
"tubuloacinus","tubulo-acinus",,,,,,"tubuloacin",,"acin tubular",,"tubulo-acin",,,,
"tubuloalveolaris","tubuloalveolar",,,,,,"tubuloalveolară",,,,,,,,
"tubuloalveolus","tubulo-alveolus",,,,,,"tubuloalveolă",,"alveolă tubulară",,,,,,
"tubulobulbaris","tubulobulbar ",,,,,,"tubulobulbar ",,,,,,,,
"tubulocytus","tubular cell",,"tubulocyte",,,,"tubulocit",,"celulă tubulară",,,,,,
"tubulosa","tubular",,,,,,"tubulară",,,,,,,,
"tubulosacculare","golgi ",,"tubulosaccular","*",,,"tubulosacular","r",,,,,,,
"tympanicum","tympanic ",,,,,,"timpanic",,,,,,,,
"tympanojugulare","tympanojugular ",,,,,,"timpanojugular",,,,,,,,
"type","type",,,,,,"tip",,,,,,,,
"typi","type",,,,,,"tip",,,,,,,,
"umbelliforme","parasol",,,,,,"umbeliform","r","în formă de umbrelă",,,,,,
"umbellocytus","umbrella cell",,"umbellocyte",,,,"umbrelocit","r","celulă în formă de umbrelă",,,,,,
"uncinata","crooked",,,,,,"uncinată","r","încovoiată",,,,,,
"unda","wave",,,,,,"undă",,,,,,,,
"ungui","nail",,,,,,"unghial",,,,,,,,
"unguis","nail",,,,,,"unghial",,,,,,,,
"unicellularis","unicellular",,,,,,"unicelular",,,,,,,,
"unico","single","*",,,,,"unică",,,,,,,,
"uniguttularis","unilocular",,"white",,,,"unilocular",,,,,,,,
"uninucleata","uninucleate",,,,,,"uninucleată",,,,,,,,
"unipolare","unipolar",,,,,,"unipolar",,,,,,,,
"unipotens","unipotent",,,,,,"unipotentă",,,,,,,,
"unitaris","unitary",,,,,,"unitar",,,,,,,,
"urethralis","urethral",,,,,,"uretrală",,,,,,,,
"urinario","urinary",,,,,,"urinar",,,,,,,,
"uroplakini","urothelial plaque ",,,,,,"a plăcii uroteliale",,"urotelioplacală",,,,,,
"urothelialis","urothelial",,,,,,"urotelial",,,,,,,,
"urotheliocytus","urothelial cell",,"urotheliocyte",,,,"urotelocit",,"celulă urotelială",,,,,,
"urothelium","urothelium",,,,,,"uroteliu",,,,,,,,
"uterovaginalis","uterovaginal",,,,,,"uterovaginal",,,,,,,,
"utrophinum","utrophin",,,,,,"utrofină",,,,,,,,
"vacuola","vacuole",,,,,,"vacuolă",,,,,,,,
"vacuolata","vacuolated ",,,,,,"vacuolată",,,,,,,,
"vagina","sheath",,"vagina",,,,"teacă",,"vagină",,,,,,
"vaginata","sheathed",,,,,,"tecală",,,,,,,,
"valde","intensely","*",,,,,"intens",,,,,,,,
"vallata","vallate",,,,,,"circumvalată",,,,,,,,
"valva","valve",,,,,,"valvă",,,,,,,,
"varicositas","varicosity",,,,,,"varicozitate",,,,,,,,
"vas","vessel",,,,,,"vas",,,,,,,,
"vasculare","vascular ",,,,,,"vascular ",,,,,,,,
"vasis","of vessel",,,,,,"al vasului",,,,,,,,
"vector","transporter",,"vector","*",,,"vector",,"transportor",,,,,,
"vegetalis","vegetative",,"Vegetal ",,,,"vegetal",,"vegetativ",,,,,,
"vellulus","vellus hair",,,,,,"puf","rp","păr pufos",,,,,,
"ventriculorum","ventricular ",,,,,,"ventricular",,"al ventriculelor",,,,,,
"vesiculae","vesicle ",,,,,,"vezicular",,,,,,,,
"vesicularis","vesicular",,,,,,"vesicular",,,,,,,,
"vesiculosa","vesicular",,"seminal",,,,"vesicular",,"seminală",,"veziculare",,,,
"vestibularium","vestibular ",,,,,,"vestibular",,,,,,,,
"vestibuli","of vesibule",,,,,,"al vestibulului",,,,,,,,
"vestibulocytus","vestibular hair cell",,"vestibular sensory cell",,"vestibulocyte",,"vestibulocit",,"celulă senzorială vestibulară",,"celulă vestibulară ciliată",,,,
"vestiens","lining",,"Mantle",,,,"de înveliș",,"de căptușeală",,,,,,
"vestiente","envelope",,"cover",,,,"înveliș",,,,,,,,
"vestigialis","vestigial",,,,,,"vestigial",,,,,,,,
"vestita","coated",,,,,,"căptușită",,"învelită",,,,,,
"villosa","villous",,,,,,"viloasă",,,,,,,,
"vimentini","vimentin",,,,,,"vimentinic",,"de vimentină",,,,,,
"vinculorum","linking","*",,,,,"a legaturii",,"de legătură",,,,,,
"visualis","visual ",,,,,,"vizual ",,,,,,,,
"vitro","vitro",,,,,,"vitro",,,,,,,,
"x","x",,,,,,"x",,,,,,,,
"y","y",,,,,,"y",,,,,,,,
"zygotema","zygotene",,,,,,"zigotemă",,,,,,,,
"zygotemalis","zygotene",,,,,,"zigotemal",,,,,,,,
"zymogeni","zymogen",,,,,,"zimogenică",,,,,,,,
"la calc","en",,"en_alt",,"en_alt2",,"ro",,"ro_alt1",,"ro_alt2",,"ro_alt3",,
"[c]","[c]",,,,,,"[c]",,,,,,,,
"[cfc]","[cfc]",,,,,,"[ufc]",,,,,,,,
"[csf]","[csf]",,,,,,"[fsc]",,,,,,,,
"{ vide paginam }",,,,,,,,,,,,,,,
"{vide etiam paginam }",,,,,,,,,,,,,,,
"{vide terminologia embryolo",,,,,,,,,,,,,,,
"acidophilicis","acidophilic","*",,,,,"acidofile",,,,,,,,
"acrosomatica","acrosomal ",,,,,,"acrozomală",,,,,,,,
"adhesionis","attachment",,,,,,"adeziv",,,,,,,,
"adipem","fat",,,,,,"de grăsime",,,,,,,,
"alto","high ",,,,,,"înaltă",,,,,,,,
"ammonis","ammon's ",,,,,,"lui amon",,,,,,,,
"arteriovenosa","arteriovenous ",,,,,,"arteriovenoasă",,,,,,,,
"b","b",,,,,,"b",,,,,,,,
"bacilli","rod ",,,,,,"a bastonașului",,"a celulei cu bastonașe",,,,,,
"cap","cap",,,,,,"cap",,,,,,,,
"complex","complex",,,,,,"complex",,,,,,,,
"conorumque","and cones",,,,,,"și conuri",,,,,,,,
"convuluta","convoluted ",,"Coiled",,,,"contortă",,,,,,,,
"diaphysiale","diaphysial",,,,,,"diafizar",,,,,,,,
"eccrina","eccrine ",,,,,,"ecrină",,,,,,,,
"elastinum","elastin",,,,,,"elastină",,,,,,,,
"electrica","electrical",,,,,,"electrică",,,,,,,,
"endometriii","of endometrium",,,,,,"al endometrului",,"endometrial",,,,,,
"epiphysiale","epiphysial ",,,,,,"epifizar",,,,,,,,
"eptheliocytus","cell",,"eptheliocyte","*",,,"epitelocit","r","celulă",,,,,,
"excentralis","excentral","*",,,,,"excentral",,,,,,,,
"g","g",,,,,,"g",,,,,,,,
"gep","gep",,"Gastroenteropancreatic ",,,,"gep",,"Gastroenteropancreatic ",,,,,,
"glandulare","glandular",,,,,,"glandulară",,,,,,,,
"gliocytus","glial cell",,"gliocyte","*",,,"gliocit","r","celulă glială",,,,,,
"granulocytos, erythrocytos,",,,,,,,,,,,,,,,
"granulocytus","granulocyte",,,,,,"granulocit",,,,,,,,
"granulocytus granulocytus",,,,,,,,,,,,,,,
"granulocytus juvenilis",,,,,,,,,,,,,,,
"h","h",,,,,,"h",,,,,,,,
"hypertrophica","hypertrophic",,,,,,"hipertrofică",,,,,,,,
"isoprismaticum","isoprismatic ",,,,,,"izoprismatic",,,,,,,,
"k","k",,,,,,"k",,,,,,,,
"l","l",,,,,,"l",,,,,,,,
"mastocytus","mastocyte",,"Mast cell",,,,"mastocit",,"celulă mamară",,,,,,
"megakaryocytus","megakaryocyte",,,,,,"megacariocit",,,,,,,,
"α","alpha",,"α",,,,"alfa",,"α",,,,,,
"mtoc","mtoc",,"Microtubule organizing centre",,,,"comt",,"Centru organizator microtubular",,,,,,
"neuroneuronalis","neuroneuronal ",,,,,,"neuroneuronală",,,,,,,,
"obscurum","dark",,,,,,"întunecat",,,,,,,,
"on-off","on-off",,,,,,"on-off",,,,,,,,
"osteoblastus","osteoblast",,,,,,"osteoblast",,,,,,,,
"perineuronalis","perineuronal","*",,,,,"perineuronal",,,,,,,,
"polygonalis","polygonal ",,,,,,"poligonal ",,,,,,,,
"pp","pp",,,,,,"pp",,,,,,,,
"promyoblastus","promyoblast",,,,,,"promioblast",,,,,,,,
"protoplasmica","protoplasmic ",,,,,,"protoplasmică",,,,,,,,
"pyy","pyy",,,,,,"pyy",,,,,,,,
"soma","body",,,,,,"corp",,,,,,,,
"spermatogenetica","spermatogenic",,,,,,"spermatogenică",,,,,,,,
"spinocellularis","spinocellular",,,,,,"spinocelular",,,,,,,,
"stipitoblastus","embryonic stem cell",,,,,,"stipitoblast",,"celulă precursoare embrionară",,,,,,
"stromalis","stromal ",,,,,,"stromală",,,,,,,,
"teloglialis","terminal glial",,,,,,"teloglială","r",,,,,,,
"v","v",,,,,,"v",,,,,,,,
"vi","vi",,,,,,"vi",,,,,,,,
"z","z",,,,,,"z",,,,,,,,
";",";",NULL,NULL,NULL,NULL,NULL,";",NULL,NULL,NULL,NULL,NULL,NULL,,
"pulmonare","pulmonary",NULL,NULL,NULL,NULL,NULL,"pulmonar",NULL,NULL,NULL,NULL,NULL,NULL,,
"juvenilis","juvenile",NULL,NULL,NULL,NULL,NULL,"juvenil",NULL,NULL,NULL,NULL,NULL,NULL,,
"nec","non",NULL,NULL,NULL,NULL,NULL,"non",NULL,NULL,NULL,NULL,NULL,NULL,,
"nanc","nanc",NULL,NULL,NULL,NULL,NULL,"nanc",NULL,NULL,NULL,NULL,NULL,NULL,,
"endocranium","endocranium",NULL,NULL,NULL,NULL,NULL,"endocraniu",NULL,NULL,NULL,NULL,NULL,NULL,,
"plana","pavement",NULL,NULL,NULL,NULL,NULL,"plană",NULL,"pavimentoasă",NULL,NULL,NULL,NULL,NULL,
"densa","dense",NULL,NULL,NULL,NULL,NULL,"densă",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"cristae","of crest",NULL,NULL,NULL,NULL,NULL,"al crestei",NULL,"cristal",NULL,NULL,NULL,NULL,NULL,
"fungiformis","fungiform","*",NULL,NULL,NULL,NULL,"fungiformă",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"granulosum","rough",NULL,NULL,NULL,NULL,NULL,"rugos",NULL,"granulos",NULL,NULL,NULL,NULL,NULL,
"porus","pore",NULL,NULL,NULL,NULL,NULL,"por",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"sulcus","groove",NULL,"furrow",NULL,NULL,NULL,"șanț",NULL,"incizură",NULL,NULL,NULL,NULL,NULL,
"anularis","anulate",NULL,"anular",NULL,NULL,NULL,"inelară",NULL,"anulară",NULL,,NULL,NULL,NULL,
"crassum","coarse",NULL,"large",NULL,NULL,NULL,"rugos",NULL,"gros",NULL,"mare",NULL,NULL,NULL,
"stria","band",NULL,"stria",NULL,NULL,NULL,"strie",NULL,"bandă",NULL,NULL,NULL,NULL,NULL,
"sensorius","sensory",NULL,NULL,NULL,NULL,NULL,"senzorial",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"fenestra","fenestration",NULL,NULL,NULL,NULL,NULL,"fenestrație",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"cilium","cilium",NULL,NULL,NULL,NULL,NULL,"cil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"composita","compound",NULL,NULL,NULL,NULL,NULL,"compusă",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"aggregatio","aggregate",NULL,"aggregation",NULL,NULL,NULL,"agregat",NULL,"agregare",NULL,NULL,NULL,NULL,NULL,
"chondralis","chondral",NULL,NULL,NULL,NULL,NULL,"condrală",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"cartilaginis","cartilaginous",NULL,NULL,NULL,NULL,NULL,"cartilaginos",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"medius","medium",NULL,NULL,NULL,NULL,NULL,"mediu",NULL,"intermediar",NULL,"mijlociu",NULL,NULL,NULL,
"formatio","production",NULL,"formation",NULL,NULL,NULL,"producție",NULL,"formațiune",NULL,,NULL,NULL,NULL,
"stimulans","stimulating",NULL,"conducting",NULL,NULL,NULL,"de conducere",NULL,"stimulator",NULL,NULL,NULL,NULL,NULL,
"transitionalis","transition",NULL,"transitional",NULL,NULL,NULL,"de tranziție",NULL,"tranzițional",NULL,NULL,NULL,NULL,NULL,
"medulla","medulla",NULL,NULL,NULL,NULL,NULL,"măduvă",NULL,"medulară",NULL,NULL,NULL,NULL,NULL,
"lymphoideus","lymphoid",NULL,NULL,NULL,NULL,NULL,"limfoid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,
